price_date,symbol,asset_type,source_name,open,high,low,close,adjusted_close,volume,currency
2020-05-20,AAPL,equity,yahoo,79.16999816894531,79.87999725341797,79.12999725341797,79.80750274658203,77.34305572509766,111504800.0,USD
2020-05-21,AAPL,equity,yahoo,79.66500091552734,80.22250366210938,78.96749877929688,79.2125015258789,76.76640319824219,102688800.0,USD
2020-05-22,AAPL,equity,yahoo,78.94249725341797,79.80750274658203,78.8375015258789,79.72250366210938,77.26066589355469,81803200.0,USD
2020-05-26,AAPL,equity,yahoo,80.875,81.05999755859375,79.125,79.18250274658203,76.73736572265625,125522000.0,USD
2020-05-27,AAPL,equity,yahoo,79.03500366210938,79.67749786376953,78.27249908447266,79.52749633789062,77.07169342041016,112945200.0,USD
2020-05-28,AAPL,equity,yahoo,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,77.1056137084961,133560800.0,USD
2020-05-29,AAPL,equity,yahoo,79.8125,80.2874984741211,79.11750030517578,79.48500061035156,77.03048706054688,153532400.0,USD
2020-06-01,AAPL,equity,yahoo,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,77.97782135009766,80791200.0,USD
2020-06-02,AAPL,equity,yahoo,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,78.33882904052734,87642800.0,USD
2020-06-03,AAPL,equity,yahoo,81.16500091552734,81.55000305175781,80.57499694824219,81.27999877929688,78.77005767822266,104491200.0,USD
2020-06-04,AAPL,equity,yahoo,81.09750366210938,81.40499877929688,80.19499969482422,80.58000183105469,78.09169006347656,87560400.0,USD
2020-06-05,AAPL,equity,yahoo,80.8375015258789,82.9375,80.80750274658203,82.875,80.3158187866211,137250400.0,USD
2020-06-08,AAPL,equity,yahoo,82.5625,83.4000015258789,81.83000183105469,83.36499786376953,80.79067993164062,95654400.0,USD
2020-06-09,AAPL,equity,yahoo,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,83.34187316894531,147712400.0,USD
2020-06-10,AAPL,equity,yahoo,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,85.48607635498047,166651600.0,USD
2020-06-11,AAPL,equity,yahoo,87.32749938964844,87.76499938964844,83.87000274658203,83.9749984741211,81.38186645507812,201662400.0,USD
2020-06-12,AAPL,equity,yahoo,86.18000030517578,86.94999694824219,83.55500030517578,84.69999694824219,82.0844497680664,200146000.0,USD
2020-06-15,AAPL,equity,yahoo,83.3125,86.41999816894531,83.1449966430664,85.74749755859375,83.09960174560547,138808800.0,USD
2020-06-16,AAPL,equity,yahoo,87.86499786376953,88.30000305175781,86.18000030517578,88.0199966430664,85.30191802978516,165428800.0,USD
2020-06-17,AAPL,equity,yahoo,88.7874984741211,88.8499984741211,87.77249908447266,87.89749908447266,85.1832275390625,114406400.0,USD
2020-06-18,AAPL,equity,yahoo,87.85250091552734,88.36250305175781,87.30500030517578,87.93250274658203,85.21712493896484,96820400.0,USD
2020-06-19,AAPL,equity,yahoo,88.66000366210938,89.13999938964844,86.2874984741211,87.43000030517578,84.73015594482422,264476000.0,USD
2020-06-22,AAPL,equity,yahoo,87.83499908447266,89.86499786376953,87.7874984741211,89.71749877929688,86.947021484375,135445200.0,USD
2020-06-23,AAPL,equity,yahoo,91.0,93.09500122070312,90.56749725341797,91.63249969482422,88.80288696289062,212155600.0,USD
2020-06-24,AAPL,equity,yahoo,91.25,92.19750213623047,89.62999725341797,90.01499938964844,87.23532104492188,192623200.0,USD
2020-06-25,AAPL,equity,yahoo,90.17500305175781,91.25,89.39250183105469,91.20999908447266,88.39344787597656,137522400.0,USD
2020-06-26,AAPL,equity,yahoo,91.10250091552734,91.33000183105469,88.25499725341797,88.40750122070312,85.67745971679688,205256800.0,USD
2020-06-29,AAPL,equity,yahoo,88.3125,90.5425033569336,87.81999969482422,90.44499969482422,87.65205383300781,130646000.0,USD
2020-06-30,AAPL,equity,yahoo,90.0199966430664,91.49500274658203,90.0,91.19999694824219,88.38374328613281,140223200.0,USD
2020-07-01,AAPL,equity,yahoo,91.27999877929688,91.83999633789062,90.97750091552734,91.02749633789062,88.2165756225586,110737200.0,USD
2020-07-02,AAPL,equity,yahoo,91.9625015258789,92.61750030517578,90.91000366210938,91.02749633789062,88.2165756225586,114041600.0,USD
2020-07-06,AAPL,equity,yahoo,92.5,93.94499969482422,92.46749877929688,93.4625015258789,90.57637023925781,118655600.0,USD
2020-07-07,AAPL,equity,yahoo,93.85250091552734,94.65499877929688,93.05750274658203,93.17250061035156,90.29534149169922,112424400.0,USD
2020-07-08,AAPL,equity,yahoo,94.18000030517578,95.375,94.08999633789062,95.34249877929688,92.39832305908203,117092000.0,USD
2020-07-09,AAPL,equity,yahoo,96.26249694824219,96.31749725341797,94.67250061035156,95.75250244140625,92.79566192626953,125642800.0,USD
2020-07-10,AAPL,equity,yahoo,95.33499908447266,95.9800033569336,94.70500183105469,95.91999816894531,92.95800018310547,90257200.0,USD
2020-07-13,AAPL,equity,yahoo,97.26499938964844,99.95500183105469,95.25749969482422,95.47750091552734,92.52914428710938,191649200.0,USD
2020-07-14,AAPL,equity,yahoo,94.83999633789062,97.25499725341797,93.87750244140625,97.05750274658203,94.06036376953125,170989200.0,USD
2020-07-15,AAPL,equity,yahoo,98.98999786376953,99.24749755859375,96.48999786376953,97.7249984741211,94.7072525024414,153198000.0,USD
2020-07-16,AAPL,equity,yahoo,96.5625,97.40499877929688,95.90499877929688,96.52249908447266,93.54188537597656,110577600.0,USD
2020-07-17,AAPL,equity,yahoo,96.98750305175781,97.14749908447266,95.83999633789062,96.32749938964844,93.3529052734375,92186800.0,USD
2020-07-20,AAPL,equity,yahoo,96.4175033569336,98.5,96.0625,98.35749816894531,95.32020568847656,90318000.0,USD
2020-07-21,AAPL,equity,yahoo,99.17250061035156,99.25,96.74250030517578,97.0,94.004638671875,103433200.0,USD
2020-07-22,AAPL,equity,yahoo,96.69249725341797,97.9749984741211,96.60250091552734,97.27249908447266,94.26871490478516,89001600.0,USD
2020-07-23,AAPL,equity,yahoo,96.99749755859375,97.07749938964844,92.01000213623047,92.84500122070312,89.97795104980469,197004400.0,USD
2020-07-24,AAPL,equity,yahoo,90.98750305175781,92.97000122070312,89.1449966430664,92.61499786376953,89.75503540039062,185438800.0,USD
2020-07-27,AAPL,equity,yahoo,93.70999908447266,94.90499877929688,93.4800033569336,94.80999755859375,91.88224792480469,121214000.0,USD
